Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,¤363 Sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
"Continental Airlines, Inc. (1990)","E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,12/3/90,confirmed,no 363 sale,865,DE,DE,Wilmington,Forum Shop,debtors,free fall,"31,400",Company emerged,"emerged 5 years, did not refile",TX Houston,4/16/93,b $1 billion but less than $10 billion,"a 30,000 and over","$12,945,682,391 ","$7,658 ",Chapter 11,Fulbright Jaworski
Continental Information Systems Corp,I: Services,73 Business Services,Not tort,1/13/89,confirmed,no 363 sale,"2,147",NY,NY SD,New York,Forum Shop,debtors,free fall,955,Company emerged,"emerged 5 years, did not refile",NY Syracuse,11/30/94,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$1,177,611,343 ","$4,142 ",Chapter 11,Levin Weintraub
"Convergent Communications, Inc.","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,4/19/01,confirmed,no 363 sale,363,CO,CO,Denver,Filed at headquarters,debtors,free fall,"1,559",company did not emerge,not emerged 5 years,CO Denver,4/17/02,d Less than $500 million,"c 1,000 but less than 10,000","$235,589,825 ",$434 ,Chapter 11,Gibson Dunn
Cook United Inc. (1984),G: Retail Trade,53 General Merchandise Stores,Not tort,10/1/84,confirmed,no 363 sale,729,OH,OH ND,Cleveland,Filed at headquarters,debtors,free fall,"5,454",Company emerged,"emerged 5 years, refiled",OH Cleveland,9/30/86,d Less than $500 million,"c 1,000 but less than 10,000","$1,374,018,902 ",$411 ,Chapter 11,Burns Summit
"Cooper-Standard Holdings, Inc.",D: Manufacturing,37 Transportation Equipment,Not tort,8/3/09,confirmed,no 363 sale,282,DE,DE,Wilmington,Forum Shop,debtors,free fall,"18,046",Company emerged,"emerged 5 years, did not refile",MI Detroit,5/12/10,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$3,130,272,535 ","$2,194 ",Chapter 11,Fried Frank
"Cooperative Bankshares, Inc.","H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,8/19/09,Chapter 7 at filing,Chapter 7 at filing,,NC,NC ED,Wilson,Forum Shop,debtors,not applicable,238,company did not emerge,not emerged 5 years,NC Wilmington,,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$68,596,715 ","$1,147 ",Chapter 7,Nicholls Crampton
Coram Healthcare Corp.,I: Services,80 Health Services,Not tort,8/8/00,confirmed,no 363 sale,"1,541",DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"2,600",Company emerged,"emerged 5 years, did not refile",CO Denver,10/27/04,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$785,636,614 ",$608 ,Chapter 11,Kasowitz Benson
"Corinthian Colleges, Inc.",I: Services,82 Educational Services,Other tort,5/4/15,confirmed,363 sale,116,DE,DE,Wilmington,Forum Shop,debtors,free fall,"15,200",company did not emerge,not emerged 5 years,CA Santa Ana,8/28/15,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$1,752,746,146 ","$1,127 ",Chapter 11,Richards Layton
"Cornerstone Propane Partners, L.P.",G: Retail Trade,59 Miscellaneous Retail,Not tort,6/3/04,confirmed,no 363 sale,158,DE,NY SD,New York,Forum Shop,debtors,prenegotiated,"2,206",Company emerged,"emerged 5 years, did not refile",CA San Jose,11/8/04,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$5,775,190,532 ","$1,193 ",Chapter 11,Kirkland Ellis
"Corus Bankshares, Inc.","H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,6/15/10,confirmed,no 363 sale,469,MN,IL ND,Chicago,Filed at headquarters,debtors,free fall,521,company did not emerge,not emerged 5 years,IL Chicago,9/27/11,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$158,119,961 ","$9,982 ",Chapter 11,Kirkland Ellis
"Costilla Energy, Inc.",B: Mining,13 Oil And Gas Extraction,Not tort,9/3/99,confirmed,363 sale,378,DE,TX WD,Midland-Odessa,Filed at headquarters,debtors,free fall,118,company did not emerge,not emerged 5 years,TX Midland,9/15/00,d Less than $500 million,e Less than 200,"$98,669,847 ",$327 ,Chapter 11,Sheinfeld Maley
"County Seat, Inc.",G: Retail Trade,56 Apparel And Accessory Stores,Not tort,10/17/96,confirmed,no 363 sale,349,DE,DE,Wilmington,Forum Shop,debtors,free fall,,Company emerged,"emerged 5 years, refiled",TX Dallas,10/1/97,d Less than $500 million,f Data Not Available,,$360 ,Chapter 11,Skadden Arps
"Covad Communications Group, Inc.","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,8/15/01,confirmed,no 363 sale,120,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"2,300",Company emerged,"emerged 5 years, did not refile",CA San Jose,12/13/01,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$232,885,768 ","$2,218 ",Chapter 11,Pachulski Stang
Covanta Energy Corp.,"E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,4/1/02,confirmed,no 363 sale,704,DE,NY SD,New York,Forum Shop,debtors,free fall,"4,700",Company emerged,"emerged 5 years, did not refile",NJ Newark,3/5/04,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,477,661,179 ","$4,615 ",Chapter 11,Cleary Gottlieb
