Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,¤363 Sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
Manville Corp.,D: Manufacturing,"32 Stone, Clay, Glass, And Concrete Products",Asbestos,8/26/82,confirmed,no 363 sale,"1,579",DE,NY SD,New York,Forum Shop,debtors,free fall,"27,000",Company emerged,"emerged 5 years, did not refile",CO Denver,12/22/86,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$5,390,193,502 ","$6,126 ",Chapter 11,Levin Weintraub
"marchFIRST, Inc.",I: Services,"87 Engineering, Accounting, Research, Management, and Related Services",Not tort,4/12/01,converted,no 363 sale,13,DE,DE,Wilmington,Forum Shop,debtors,free fall,"8,900",company did not emerge,not emerged 5 years,IL Chicago,4/25/01,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$708,241,911 ",$742 ,Chapter 11,Saul Ewing
"Mariner Post-Acute Network, Inc.",I: Services,80 Health Services,Not tort,1/18/00,confirmed,no 363 sale,806,DE,DE,Wilmington,Forum Shop,debtors,free fall,"54,000",Company emerged,"emerged 5 years, did not refile",GA Atlanta,4/3/02,b $1 billion but less than $10 billion,"a 30,000 and over","$3,506,800,965 ","$1,967 ",Chapter 11,Stutman Treister
Marion Corp.,B: Mining,13 Oil And Gas Extraction,Not tort,3/4/83,confirmed,no 363 sale,"1,060",NV,TX SD,Houston,Forum Shop,creditors,free fall,381,company did not emerge,not emerged 5 years,AL Mobile,1/27/86,d Less than $500 million,"d 200 but less than 1,000","$1,017,652,496 ",$437 ,Chapter 11,Rochelle King
"Marvel Entertainment Group, Inc.",D: Manufacturing,"27 Printing, Publishing, And Allied Industries",Not tort,12/27/96,confirmed,no 363 sale,200,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"1,625",company did not emerge,not emerged 5 years,NY New York,7/15/97,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,361,329,752 ","$1,992 ",Chapter 11,Weil Gotshal
Mattress Firm Holding Corp.,G: Retail Trade,"57 Home Furniture, Furnishings, and Equipment Stores",Not tort,10/5/18,confirmed,no 363 sale,42,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,"10,552",Company emerged,not emerged 5 years,TX Houston,11/16/18,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$2,617,946,784 ","$1,716 ",Chapter 11,Sidley Austin
Maxicare Health Plans Inc.,I: Services,80 Health Services,Not tort,3/15/89,confirmed,no 363 sale,534,CA,CA CD,Santa Ana,Forum Shop,debtors,free fall,"3,450",Company emerged,"emerged 5 years, did not refile",CA Los Angeles,8/31/90,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$3,424,947,707 ",$623 ,Chapter 11,Myerson Kuhn
"Mayflower Group Inc. (MG Holdings, Inc.)","E: Transportation, Communications, Electric, Gas",42 Motor Freight Transportation And Warehousing,Not tort,1/27/92,confirmed,no 363 sale,45,IN,IN SD,Indianapolis,Filed at headquarters,debtors,prepackaged,"11,400",Company emerged,"emerged 5 years, did not refile",IN Indianapolis,3/12/92,c $500 million but less than $1billion,"b 10,000 but less than 30,000","$1,129,868,689 ",$666 ,Chapter 11,Barnes Thornburg
McClatchy Company,D: Manufacturing,"27 Printing, Publishing, And Allied Industries",Not tort,2/13/20,confirmed,363 sale,225,DE,NY SD,New York,Forum Shop,debtors,free fall,"2,800",Company emerged,not emerged 5 years,CA Sacramento,9/25/20,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$714,442,166 ",$918 ,Chapter 11,Skadden Arps
McCrory Corp.,G: Retail Trade,53 General Merchandise Stores,Not tort,2/26/92,no data,363 sale,,DE,NY SD,New York,Filed at headquarters,debtors,free fall,"18,800",Company emerged,"emerged 5 years, refiled",NY New York,,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$2,560,951,802 ","$1,225 ",Chapter 11,Fried Frank
"McDermott International, Inc.",D: Manufacturing,"34 Fabricated Metal Products, Except Machinery and Transportation Equipment",Not tort,1/21/20,confirmed,no 363 sale,53,Panama,TX SD,Houston,Filed at headquarters,debtors,prepackaged,"42,600",Company emerged,not emerged 5 years,TX Houston,3/14/20,b $1 billion but less than $10 billion,"a 30,000 and over","$8,512,802,966 ","$8,822 ",Chapter 11,Kirkland Ellis
McLean Industries Inc.,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,11/24/86,confirmed,no 363 sale,904,DE,NY SD,New York,Filed at headquarters,debtors,free fall,"3,750",Company emerged,"emerged 5 years, did not refile",NY New York,5/16/89,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$29,923,838 ","$1,415 ",Chapter 11,Milbank Tweed
McLeodUSA Incorporated (2005),"E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,10/28/05,confirmed,no 363 sale,49,DE,IL ND,Chicago,Forum Shop,debtors,prepackaged,"2,400",Company emerged,"emerged 5 years, did not refile",IA Cedar Rapids,12/16/05,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$936,503,408 ","$1,341 ",Chapter 11,Skadden Arps
"McLeodUSA, Inc. (2002)","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,1/30/02,confirmed,no 363 sale,65,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"8,500",Company emerged,"emerged 5 years, refiled",IA Cedar Rapids,4/5/02,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,663,276,788 ","$6,994 ",Chapter 11,Skadden Arps
McLouth Steel Corp.,D: Manufacturing,33 Primary Metal Industries,Not tort,12/8/81,confirmed,363 sale,"1,099",MI,MI ED,Detroit,Filed at headquarters,debtors,free fall,"5,225",Company emerged,"emerged 5 years, did not refile",MI Detroit,12/11/84,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,701,427,252 ","$1,236 ",Chapter 11,Levin Weintraub
Mcorp,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,3/24/89,confirmed,no 363 sale,"1,924",DE,NY SD,New York,Forum Shop,creditors,free fall,"7,800",company did not emerge,not emerged 5 years,TX Dallas,6/30/94,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$139,275,852 ","$7,437 ",Chapter 11,Weil Gotshal
MCSI Inc.,F: Wholesale Trade,50 Wholesale Trade-durable Goods,Fraud,6/3/03,dismissed,no 363 sale,"2,926",MD,MD,Baltimore,Forum Shop,debtors,free fall,"2,036",not classified,not classified,OH Dayton,6/7/11,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,148,524,442 ",$669 ,Chapter 11,Whiteford Taylor
"MediaNews Group, Inc. (Affiliated Media, Inc. only)",D: Manufacturing,"27 Printing, Publishing, And Allied Industries",Not tort,1/22/10,confirmed,no 363 sale,41,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,"12,700",Company emerged,"emerged 5 years, did not refile",CO Denver,3/4/10,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$1,598,567,261 ","$3,119 ",Chapter 11,Hughes Hubbard
"Medical Resources, Inc.",I: Services,80 Health Services,Not tort,4/7/00,confirmed,no 363 sale,307,DE,NY SD,New York,Forum Shop,debtors,prenegotiated,"1,059",Company emerged,"emerged 5 years, did not refile",NJ Newark,2/8/01,d Less than $500 million,"c 1,000 but less than 10,000","$239,702,985 ",$335 ,Chapter 11,Willkie Farr
"Mediq, Inc.",I: Services,73 Business Services,Not tort,1/24/01,confirmed,no 363 sale,120,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"1,432",Company emerged,"emerged 5 years, did not refile",NJ Camden,5/24/01,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$324,290,874 ",$539 ,Chapter 11,Dechert
"Megafoods Stores, Inc.",G: Retail Trade,54 Food Stores,Not tort,8/17/94,confirmed,no 363 sale,"1,234",NV,AZ,Phoenix,Filed at headquarters,debtors,free fall,"4,200",company did not emerge,not emerged 5 years,AZ Phoenix,1/2/98,d Less than $500 million,"c 1,000 but less than 10,000","$715,380,478 ",$347 ,Chapter 11,Myer Hedricks
"Melinta Therapeutics, Inc.",D: Manufacturing,28 Chemicals and Allied Products,Not tort,12/27/19,confirmed,no 363 sale,106,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,290,Company emerged,not emerged 5 years,NJ Newark,4/11/20,d Less than $500 million,"d 200 but less than 1,000","$97,743,382 ",$448 ,Chapter 11,Skadden Arps
Memorex Telex N.V. (1992),D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Not tort,1/6/92,confirmed,no 363 sale,32,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,"8,500",Company emerged,"emerged 5 years, refiled",TX Dallas,2/7/92,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$3,526,953,761 ","$3,275 ",Chapter 11,O'Sullivan Graev
Memorex Telex N.V. (1994),D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Not tort,2/11/94,confirmed,no 363 sale,31,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,"5,400",Company emerged,"emerged 5 years, refiled",TX Dallas,3/14/94,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,355,047,173 ","$2,022 ",Chapter 11,O'Sullivan Graev
Memorial Production Partners LP,B: Mining,13 Oil And Gas Extraction,Not tort,1/16/17,confirmed,no 363 sale,88,DE,TX SD,Houston,Filed at headquarters,debtors,prenegotiated,289,Company emerged,not emerged 5 years,TX Houston,4/14/17,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$305,246,237 ","$2,117 ",Chapter 11,Weil Gotshal
"Mercantile Bancorp, Inc.","H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,6/27/13,confirmed,363 sale,364,DE,DE,Wilmington,Forum Shop,debtors,free fall,252,company did not emerge,not emerged 5 years,IL Springfield,6/26/14,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$59,230,884 ","$1,037 ",Chapter 11,DLA Piper
Mercury Finance Company,"H: Finance, Insurance, And Real Estate",61 Non-depository Credit Institutions,Fraud,7/6/98,confirmed,no 363 sale,247,DE,IL ND,Chicago,Filed at headquarters,creditors,prenegotiated,"1,570",Company emerged,"emerged 5 years, did not refile",IL Chicago,3/10/99,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$596,919,583 ","$1,563 ",Chapter 11,McDermott Will
"Merisant Worldwide, Inc.",D: Manufacturing,28 Chemicals and Allied Products,Not tort,1/9/09,confirmed,no 363 sale,341,DE,DE,Wilmington,Forum Shop,debtors,free fall,430,Company emerged,"emerged 5 years, did not refile",IL Chicago,12/16/09,c $500 million but less than $1billion,"d 200 but less than 1,000","$358,074,632 ",$571 ,Chapter 11,Sidley Austin
Merry-Go-Round Enterprises Inc.,G: Retail Trade,56 Apparel And Accessory Stores,Not tort,1/11/94,converted,no 363 sale,780,MD,MD,Baltimore,Filed at headquarters,debtors,free fall,"13,911",company did not emerge,not emerged 5 years,MD Baltimore,3/1/96,c $500 million but less than $1billion,"b 10,000 but less than 30,000","$1,563,376,707 ",$650 ,Chapter 11,Swidler Berlin
"Meruelo Maddux Properties, Inc.","H: Finance, Insurance, And Real Estate",65 Real Estate,Not tort,3/27/09,confirmed,no 363 sale,819,DE,CA CD,Woodland Hills,Forum Shop,debtors,free fall,101,Company emerged,"emerged 5 years, did not refile",CA Los Angeles,6/24/11,c $500 million but less than $1billion,e Less than 200,"$29,615,906 ",$835 ,Chapter 11,Danning Gill
"Mesa Air Group, Inc.","E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,1/5/10,confirmed,no 363 sale,380,NV,NY SD,New York,Forum Shop,debtors,free fall,"4,113",Company emerged,"emerged 5 years, did not refile",AZ Phoenix,1/20/11,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,594,084,724 ","$1,153 ",Chapter 11,Pachulski Stang
"Metals USA, Inc.",F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,11/14/01,confirmed,no 363 sale,338,DE,TX SD,Houston,Filed at headquarters,debtors,free fall,"4,700",Company emerged,"emerged 5 years, did not refile",TX Houston,10/18/02,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,976,677,436 ","$1,627 ",Chapter 11,Fulbright Jaworski
"Metricom, Inc.",D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,7/2/01,confirmed,363 sale,425,DE,CA ND,San Jose,Filed at headquarters,debtors,free fall,776,company did not emerge,not emerged 5 years,CA San Jose,8/31/02,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$17,383,521 ","$1,840 ",Chapter 11,Murphy Sheneman
"Metromedia Fiber Network, Inc.","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,5/20/02,confirmed,no 363 sale,458,DE,NY SD,White Plains,Filed at headquarters,debtors,free fall,"1,732",Company emerged,"emerged 5 years, did not refile",NY White Plains,8/21/03,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$272,353,237 ","$9,057 ",Chapter 11,Kronish Lieb
"Metropolitan Mortgage & Securities Co., Inc.","H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,2/4/04,confirmed,no 363 sale,740,WA,WA ED,Spokane,Filed at headquarters,debtors,free fall,289,company did not emerge,not emerged 5 years,WA Spokane,2/13/06,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$229,418,561 ","$2,500 ",Chapter 11,Lane Powell
MF Global Holdings Ltd.,"H: Finance, Insurance, And Real Estate","62 Security And Commodity Brokers, Dealers, Exchanges, And Services",Not tort,10/31/11,confirmed,no 363 sale,522,DE,NY SD,New York,Filed at headquarters,debtors,free fall,"2,847",company did not emerge,not emerged 5 years,NY New York,4/5/13,a $10 billion and over,"c 1,000 but less than 10,000","$2,569,526,353 ","$46,639 ",Chapter 11,Barnes Thornburg
MGF Oil Corp.,B: Mining,13 Oil And Gas Extraction,Not tort,12/14/84,confirmed,no 363 sale,"1,083",DE,TX WD,Midland,Filed at headquarters,debtors,free fall,396,Company emerged,"emerged 5 years, did not refile",TX Midland,12/2/87,c $500 million but less than $1billion,"d 200 but less than 1,000","$141,385,683 ",$563 ,Chapter 11,Lynch Chappell
Michigan General Corporation (1987),G: Retail Trade,"52 Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",Not tort,4/22/87,confirmed,no 363 sale,345,DE,TX ND,Dallas,Forum Shop,debtors,free fall,"3,200",Company emerged,"emerged 5 years, refiled",NJ Newark,4/1/88,d Less than $500 million,"c 1,000 but less than 10,000","$892,187,008 ",$465 ,Chapter 11,Akin Gump
"MicroAge, Inc.",F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,4/13/00,confirmed,no 363 sale,453,DE,AZ,Phoenix,Filed at headquarters,debtors,free fall,"5,100",company did not emerge,not emerged 5 years,AZ Phoenix,7/10/01,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$9,350,929,927 ","$1,196 ",Chapter 11,Snell Wilmer
"Mid-American Waste Systems, Inc.","E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,1/21/97,confirmed,363 sale,239,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,884,company did not emerge,not emerged 5 years,OH Columbus,9/17/97,c $500 million but less than $1billion,"d 200 but less than 1,000","$256,823,107 ",$844 ,Chapter 11,Skadden Arps
"Midstates Petroleum Company, Inc.",B: Mining,13 Oil And Gas Extraction,Not tort,4/30/16,confirmed,no 363 sale,151,DE,TX SD,Houston,Forum Shop,debtors,prenegotiated,159,Company emerged,not emerged 5 years,OK Tulsa,9/28/16,c $500 million but less than $1billion,e Less than 200,"$397,518,938 ",$739 ,Chapter 11,Kirkland Ellis
Midway Airlines Corp (2001),"E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,8/13/01,converted,no 363 sale,808,DE,NC ED,Raleigh,Filed at headquarters,debtors,free fall,"1,868",company did not emerge,not emerged 5 years,NC Raleigh,10/30/03,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$413,276,119 ",$512 ,Chapter 11,Kilpatrick Townsend
Midway Airlines Inc. (1991),"E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,3/25/91,converted,no 363 sale,248,DE,IL ND,Chicago,Filed at headquarters,debtors,free fall,"5,879",company did not emerge,not emerged 5 years,IL Chicago,11/28/91,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,264,491,292 ",$670 ,Chapter 11,Latham Watkins
"Midwest Banc Holdings, Inc.","H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,8/20/10,confirmed,no 363 sale,284,DE,IL ND,Chicago,Filed at headquarters,debtors,free fall,416,company did not emerge,not emerged 5 years,IL Chicago,5/31/11,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$200,013,469 ","$4,099 ",Chapter 11,Hinshaw Culbertson
Milacron Inc.,D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Not tort,3/10/09,converted,363 sale,645,DE,OH SD,Cincinnati,Filed at headquarters,debtors,prenegotiated,"3,300",Company emerged,"emerged 5 years, did not refile",OH Cincinnati,12/15/10,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$989,360,341 ",$738 ,Chapter 11,Dinsmore Shohl
"Milagro Oil & Gas, Inc.",B: Mining,13 Oil And Gas Extraction,Not tort,7/15/15,confirmed,no 363 sale,85,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,103,Company emerged,not emerged 5 years,TX Houston,10/8/15,c $500 million but less than $1billion,e Less than 200,"$147,938,894 ",$525 ,Chapter 11,Young Conaway
"Miller Energy Resources, Inc.",B: Mining,13 Oil And Gas Extraction,Not tort,8/6/15,confirmed,no 363 sale,175,TN,AK,Anchorage,Forum Shop,creditors,prenegotiated,84,Company emerged,not emerged 5 years,TN Knoxville,1/28/16,c $500 million but less than $1billion,e Less than 200,"$77,273,289 ",$840 ,Chapter 11,Andrews Kurth
MiniScribe Corp.,D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Fraud,1/1/90,converted,363 sale,480,DE,CO,Denver,Filed at headquarters,debtors,free fall,"5,300",Company emerged,"emerged 5 years, did not refile",CO Denver,4/26/91,d Less than $500 million,"c 1,000 but less than 10,000","$1,011,569,384 ",$460 ,Chapter 11,Davis Graham
Mirant Corp.,"E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,7/14/03,confirmed,no 363 sale,879,DE,TX ND,Fort Worth,Forum Shop,debtors,free fall,"7,000",Company emerged,"emerged 5 years, did not refile",GA Atlanta,12/9/05,a $10 billion and over,"c 1,000 but less than 10,000","$9,115,881,805 ","$27,499 ",Chapter 11,White Case
Mississippi Chemical Corp.,D: Manufacturing,28 Chemicals and Allied Products,Not tort,5/15/03,confirmed,no 363 sale,573,MS,MS SD,Jackson,Filed at headquarters,debtors,free fall,"1,300",company did not emerge,not emerged 5 years,MS Jackson,12/8/04,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$640,601,381 ",$895 ,Chapter 11,Phelps Dunbar
"MMH Holdings, Inc.",D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Not tort,5/17/00,confirmed,no 363 sale,449,DE,DE,Wilmington,Forum Shop,debtors,free fall,"2,151",Company emerged,"emerged 5 years, did not refile",WI Milwaukee,8/9/01,d Less than $500 million,"c 1,000 but less than 10,000","$446,823,023 ",$345 ,Chapter 11,Proskauer Rose
MModal Inc.,I: Services,73 Business Services,Not tort,3/20/14,confirmed,no 363 sale,123,DE,NY SD,New York,Forum Shop,debtors,free fall,"12,000",Company emerged,"emerged 5 years, did not refile",TN Nashville,7/21/14,c $500 million but less than $1billion,"b 10,000 but less than 30,000","$489,216,190 ",$586 ,Chapter 11,Dechert
MMR Holding Corp.,C: Construction,17 Construction Special Trade Contractors,Not tort,3/28/90,confirmed,no 363 sale,956,DE,LA MD,Baton Rouge,Filed at headquarters,debtors,free fall,"6,900",Company emerged,"emerged 5 years, did not refile",LA Baton Rouge,11/8/92,d Less than $500 million,"c 1,000 but less than 10,000","$1,162,900,037 ",$438 ,Chapter 11,Stone Pigman
"Mobile Energy Services Holdings, Inc.","E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,1/14/99,confirmed,no 363 sale,"1,713",AL,AL SD,Mobile,Forum Shop,debtors,free fall,133,Company emerged,"emerged 5 years, did not refile",GA Atlanta,9/23/03,c $500 million but less than $1billion,e Less than 200,"$136,340,621 ",$661 ,Chapter 11,Andrews Kurth
"MobileMedia Communications, Inc.","E: Transportation, Communications, Electric, Gas",48 Communications,Fraud,1/30/97,confirmed,no 363 sale,802,DE,DE,Wilmington,Forum Shop,debtors,free fall,"3,370",company did not emerge,not emerged 5 years,NJ Newark,4/12/99,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$414,204,412 ","$1,848 ",Chapter 11,Sidley Austin
"Molten Metal Technology, Inc.","E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,12/3/97,confirmed,363 sale,"2,994",DE,MA,Boston,Filed at headquarters,debtors,free fall,481,company did not emerge,not emerged 5 years,MA Boston,2/13/06,d Less than $500 million,"d 200 but less than 1,000","$102,560,531 ",$440 ,Chapter 11,Cohn Kelakos
"Molycorp, Inc.",B: Mining,10 Metal Mining,Not tort,6/25/15,confirmed,no 363 sale,288,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"2,500",Company emerged,not emerged 5 years,CO Denver,4/8/16,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$519,131,740 ","$2,812 ",Chapter 11,Jones Day
Momentive Performance Materials Inc.,D: Manufacturing,28 Chemicals and Allied Products,Not tort,4/13/14,confirmed,no 363 sale,151,DE,NY SD,White Plains,Forum Shop,debtors,prenegotiated,"4,500",Company emerged,"emerged 5 years, refiled",NY Albany,9/11/14,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,634,712,880 ","$2,960 ",Chapter 11,Willkie Farr
Monaco Coach Corporation,D: Manufacturing,37 Transportation Equipment,Not tort,3/5/09,converted,363 sale,116,DE,DE,Wilmington,Forum Shop,debtors,free fall,"5,348",Company emerged,"emerged 5 years, did not refile",OR Eugene,6/29/09,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,557,859,848 ",$691 ,Chapter 11,Pachulski Stang
Monarch Capital Corp.,"H: Finance, Insurance, And Real Estate",63 Insurance Carriers,Not tort,5/30/91,confirmed,no 363 sale,392,DE,MA,Worcester,Forum Shop,creditors,free fall,"1,520",Company emerged,"emerged 5 years, did not refile",MA Springfield,6/25/92,d Less than $500 million,"c 1,000 but less than 10,000","$11,615,681 ",$396 ,Chapter 11,Ropes Gray
"Monitronics International, Inc.",I: Services,73 Business Services,Not tort,6/30/19,confirmed,no 363 sale,38,TX,TX SD,Houston,Forum Shop,debtors,prepackaged,"1,230",Company emerged,not emerged 5 years,TX Dallas,8/7/19,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$549,494,656 ","$1,328 ",Chapter 11,Latham Watkins
Montgomery Ward Holding Corp. (1997),G: Retail Trade,53 General Merchandise Stores,Not tort,7/7/97,confirmed,no 363 sale,738,DE,DE,Wilmington,Forum Shop,debtors,free fall,"58,100",Company emerged,"emerged 5 years, refiled",IL Chicago,7/15/99,b $1 billion but less than $10 billion,"a 30,000 and over","$10,743,538,193 ","$7,918 ",Chapter 11,Jones Day
Montgomery Ward Holding Corp. (2000),G: Retail Trade,53 General Merchandise Stores,Not tort,12/28/00,confirmed,363 sale,592,DE,DE,Wilmington,Forum Shop,debtors,free fall,"49,000",company did not emerge,not emerged 5 years,IL Chicago,8/12/02,b $1 billion but less than $10 billion,"a 30,000 and over","$5,440,014,460 ","$5,227 ",Chapter 11,Skadden Arps
Morrison Knudsen Corp.,C: Construction,15 Building Construction General Contractors And Operative Builders,Not tort,6/25/96,confirmed,no 363 sale,62,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"7,800",Company emerged,"emerged 5 years, refiled",ID Boise,8/26/96,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,840,223,789 ","$1,044 ",Chapter 11,Jones Day
Mortgage & Realty Trust (1990),"H: Finance, Insurance, And Real Estate",61 Non-depository Credit Institutions,Not tort,4/12/90,confirmed,no 363 sale,321,MD,CA CD,Los Angeles,Forum Shop,debtors,free fall,1,Company emerged,"emerged 5 years, refiled",PA Philadelphia,2/27/91,b $1 billion but less than $10 billion,e Less than 200,"$40,305,775 ","$1,053 ",Chapter 11,Morgan Lewis
Mortgage & Realty Trust (1995),"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,8/18/95,confirmed,no 363 sale,35,MD,CA CD,Los Angeles,Forum Shop,debtors,prepackaged,28,Company emerged,"emerged 5 years, did not refile",PA Philadelphia,9/22/95,c $500 million but less than $1billion,e Less than 200,"$61,799,969 ",$621 ,Chapter 11,Milbank Tweed
"Movie Gallery, Inc. (2007)",I: Services,78 Motion Pictures,Not tort,10/16/07,confirmed,no 363 sale,177,DE,VA ED,Richmond,Forum Shop,debtors,prenegotiated,"41,400",Company emerged,"emerged 5 years, refiled",AL Montgomery,4/10/08,b $1 billion but less than $10 billion,"a 30,000 and over","$3,169,494,764 ","$1,438 ",Chapter 11,Kirkland Ellis
"Movie Gallery, Inc. (2010)",I: Services,78 Motion Pictures,Not tort,2/2/10,confirmed,no 363 sale,269,DE,VA ED,Richmond,Forum Shop,debtors,free fall,"36,250",company did not emerge,not emerged 5 years,OR Portland,10/29/10,c $500 million but less than $1billion,"a 30,000 and over","$2,947,288,049 ",$797 ,Chapter 11,Sonnenschein Nath
MPC Corporation,I: Services,73 Business Services,Not tort,11/6/08,confirmed,363 sale,852,CO,DE,Wilmington,Forum Shop,debtors,free fall,"1,162",company did not emerge,not emerged 5 years,ID Boise,3/8/11,d Less than $500 million,"c 1,000 but less than 10,000","$447,578,704 ",$327 ,Chapter 11,Reed Smith
Mpower Holding Corp.,"E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,4/8/02,confirmed,no 363 sale,100,DE / NV,DE,Wilmington,Forum Shop,debtors,prenegotiated,"1,800",Company emerged,"emerged 5 years, did not refile",NY Rochester,7/17/02,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$283,500,887 ",$889 ,Chapter 11,Shearman Sterling
"MTS, Incorporated",G: Retail Trade,"57 Home Furniture, Furnishings, and Equipment Stores",Not tort,2/9/04,confirmed,no 363 sale,36,CA,DE,Wilmington,Forum Shop,debtors,prepackaged,"4,828",Company emerged,"emerged 5 years, refiled",CA Sacramento,3/16/04,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,375,112,470 ",$666 ,Chapter 11,O'Melveny Myers
Muzak Holdings LLC,I: Services,73 Business Services,Not tort,2/10/09,confirmed,no 363 sale,336,DE,DE,Wilmington,Forum Shop,debtors,free fall,"1,235",Company emerged,"emerged 5 years, did not refile",SC Columbia,1/12/10,d Less than $500 million,"c 1,000 but less than 10,000","$305,154,743 ",$481 ,Chapter 11,Kirkland Ellis
NACO Finance Corp.,"H: Finance, Insurance, And Real Estate",61 Non-depository Credit Institutions,Not tort,5/9/91,confirmed,no 363 sale,218,NV,TX ND,Dallas,Filed at headquarters,debtors,free fall,1,Company emerged,"emerged 5 years, did not refile",TX Dallas,12/13/91,d Less than $500 million,e Less than 200,"$42,695,838 ",$338 ,Chapter 11,Gibson Dunn
