index,Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,363sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
245,"Combustion Equipment Associates, Inc.",D: Manufacturing,"38 Measuring, Analyzing and Controlling Instruments; Photographic, Medical",Not tort,1980-10-20,confirmed,no 363 sale,1157.0,NY,NY SD,New York,Filed at headquarters,debtors,free fall,2400.0,Company emerged,"emerged 5 years, did not refile",NY New York,1983-12-21,c $500 million but less than $1billion,"c 1,000 but less than 10,000",368266619.0,547.0,Chapter 11,Anderson Russell
246,"Comdisco, Inc.",I: Services,73 Business Services,Not tort,2001-07-16,confirmed,no 363 sale,380.0,DE,IL ND,Chicago,Filed at headquarters,debtors,free fall,3500.0,company did not emerge,not emerged 5 years,IL Chicago,2002-07-31,a $10 billion and over,"c 1,000 but less than 10,000",5674664552.0,12846.0,Chapter 11,Skadden Arps
247,Commonwealth Equity Trust,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,1993-08-02,confirmed,no 363 sale,371.0,CA,CA CD,Los Angeles,Forum Shop,debtors,free fall,1.0,Company emerged,"emerged 5 years, did not refile",CA Sacramento,1994-08-08,c $500 million but less than $1billion,e Less than 200,57428401.0,504.0,Chapter 11,Pachulski Stang
248,Community Bancorp,"H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,2010-05-28,Chapter 7 at filing,Chapter 7 at filing,,NV,NV,Las Vegas,Filed at headquarters,debtors,not applicable,289.0,company did not emerge,not emerged 5 years,NV Las Vegas,,b $1 billion but less than $10 billion,"d 200 but less than 1,000",157168095.0,2022.0,Chapter 7,Santoro Driggs
249,"Complete Management, Inc.",I: Services,"87 Engineering, Accounting, Research, Management, and Related Services",Fraud,1999-10-12,confirmed,no 363 sale,1438.0,NY,NY SD,New York,Filed at headquarters,debtors,prenegotiated,640.0,no data,no data,NY New York,2003-09-19,d Less than $500 million,"d 200 but less than 1,000",111498977.0,350.0,Chapter 11,Saloman Green
250,Cone Mills Corp,D: Manufacturing,22 Textile Mill Products,Not tort,2003-09-24,confirmed,363 sale,568.0,NC,DE,Wilmington,Forum Shop,debtors,free fall,3200.0,Company emerged,"emerged 5 years, did not refile",NC Greensboro,2005-04-14,d Less than $500 million,"c 1,000 but less than 10,000",626712821.0,448.0,Chapter 11,Paul Weiss
251,"Conexant Systems, Inc.",D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,2013-02-28,confirmed,no 363 sale,98.0,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,504.0,Company emerged,"emerged 5 years, did not refile",CA Santa Ana,2013-06-06,d Less than $500 million,"d 200 but less than 1,000",81822355.0,446.0,Chapter 11,Klehr Harrison
252,"Conseco, Inc.","H: Finance, Insurance, And Real Estate",63 Insurance Carriers,Not tort,2002-12-17,confirmed,no 363 sale,266.0,IN,IL ND,Chicago,Forum Shop,debtors,prenegotiated,14300.0,Company emerged,"emerged 5 years, did not refile",IN Indianapolis,2003-09-09,a $10 billion and over,"b 10,000 but less than 30,000",11674677940.0,88397.0,Chapter 11,Kirkland Ellis
253,Consolidated Freightways Corp.,"E: Transportation, Communications, Electric, Gas",42 Motor Freight Transportation And Warehousing,Not tort,2002-09-03,confirmed,no 363 sale,807.0,DE,CA CD,Riverside,Forum Shop,debtors,free fall,18100.0,company did not emerge,not emerged 5 years,WA Tacoma,2004-11-18,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000",3220240062.0,1267.0,Chapter 11,Latham Watkins
254,"Consolidated Hydro, Inc.","E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,1997-09-15,confirmed,no 363 sale,38.0,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,233.0,Company emerged,"emerged 5 years, did not refile",CT Bridgeport,1997-10-23,d Less than $500 million,"d 200 but less than 1,000",92717110.0,394.0,Chapter 11,Weil Gotshal
